trial_id,status,score,final_val_accuracy,final_val_loss,final_accuracy,final_loss,best_step,initial_lr,end_lr,poly_power,xz_units,yl_units,merged_dense1_units,merged_dense2_units,merged_dense3_units,dropout1_rate,dropout2_rate,dropout3_rate,trial_dir
00,COMPLETED,0.7814748883247375,0.7814748883247375,0.5113440454006195,0.7624208331108093,0.5176802575588226,116,0.00035130677235196815,6.66703394468406e-06,1.0,112,48,128,32,16,0.4,0.30000000000000004,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_00
01,COMPLETED,0.7086579203605652,0.7086579203605652,0.5654783844947815,0.7023203372955322,0.5541878640651703,118,0.00019379962312389678,1.6483993178203353e-05,1.0,16,16,256,64,64,0.4,0.1,0.2,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_01
02,COMPLETED,0.7028711140155792,0.7028711140155792,0.5688310265541077,0.7031688392162323,0.5550156831741333,103,0.0002477608674722236,4.489271097381126e-06,2.0,96,32,64,32,64,0.0,0.4,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_02
03,COMPLETED,0.7413012981414795,0.7413012981414795,0.5299449265003204,0.7490549087524414,0.5090080797672272,118,0.00028774634397997267,3.187720102714487e-06,0.5,48,112,128,64,64,0.2,0.1,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_03
04,COMPLETED,0.9142740666866302,0.9142740666866302,0.2907862365245819,0.9027084708213806,0.28145889937877655,117,0.0035468088437538778,7.399608206353055e-05,0.5,128,80,64,96,64,0.4,0.4,0.2,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_04
05,COMPLETED,0.9175384044647217,0.9175384044647217,0.26132622361183167,0.9120335280895233,0.24724992364645004,117,0.00617050452258954,3.3964728625943317e-06,1.0,128,32,256,128,64,0.2,0.1,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_05
06,COMPLETED,0.9191334843635559,0.9191334843635559,0.2592402845621109,0.9089587926864624,0.2624460905790329,118,0.003902533338680906,1.2634328852360271e-05,0.5,96,80,128,32,64,0.4,0.30000000000000004,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_06
07,COMPLETED,0.7144075930118561,0.7144075930118561,0.5545374155044556,0.7192482948303223,0.5318200290203094,109,0.0001102978382640429,3.767919850708086e-06,0.5,32,32,256,64,64,0.0,0.0,0.1,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_07
08,COMPLETED,0.9141627848148346,0.9141627848148346,0.26003070175647736,0.907782644033432,0.26462864875793457,106,0.009032083593872276,1.8049869309856734e-05,2.0,128,64,128,96,32,0.1,0.2,0.1,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_08
09,COMPLETED,0.6955634653568268,0.6955634653568268,0.573542982339859,0.6885343492031097,0.5684176683425903,107,0.00010955745162477467,2.3320582076241428e-05,1.5,128,16,64,96,16,0.1,0.1,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_09
10,COMPLETED,0.916462630033493,0.916462630033493,0.259830117225647,0.9161079823970795,0.24641264230012894,118,0.0032729095486270484,3.343603776126587e-05,1.0,96,128,256,96,32,0.0,0.0,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_10
11,COMPLETED,0.8868239521980286,0.8868239521980286,0.30784106254577637,0.8816808760166168,0.3205834627151489,112,0.0027547362874968547,2.090270937845708e-06,2.0,48,48,192,32,48,0.4,0.1,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_11
12,COMPLETED,0.7209733724594116,0.7209733724594116,0.5529985129833221,0.7182569801807404,0.5398974418640137,110,0.00018924314686241615,2.4282486000468936e-05,1.0,112,32,256,32,32,0.4,0.1,0.2,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_12
13,COMPLETED,0.6933006942272186,0.6933006942272186,0.575693666934967,0.6869381964206696,0.5707807838916779,97,0.0001192035874269068,4.203071113584753e-05,2.0,16,64,192,96,32,0.4,0.2,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_13
14,COMPLETED,0.9196527898311615,0.9196527898311615,0.2512589767575264,0.9137053191661835,0.24845071136951447,113,0.003858521960671514,1.0948613131018005e-06,1.0,80,48,192,128,32,0.4,0.30000000000000004,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_14
15,COMPLETED,0.8220565319061279,0.8220565319061279,0.42263515293598175,0.8257808685302734,0.41100551187992096,104,0.0014789571342550213,5.727064568429211e-06,2.5,32,64,256,32,48,0.0,0.1,0.2,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_15
16,COMPLETED,0.9137176275253296,0.9137176275253296,0.2620325833559036,0.9113698601722717,0.25672535598278046,113,0.003533627817437416,5.5826404203602606e-05,1.5,64,112,192,64,32,0.0,0.0,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_16
17,COMPLETED,0.9162771701812744,0.9162771701812744,0.2629152536392212,0.9089840054512024,0.26806163787841797,116,0.005226842229942228,2.7347243931217775e-05,1.0,80,48,64,32,48,0.1,0.4,0.30000000000000004,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_17
18,COMPLETED,0.9156465530395508,0.9156465530395508,0.25843361020088196,0.9111514389514923,0.2666129767894745,118,0.001634141156868276,3.1141362650665706e-06,0.5,112,16,256,32,16,0.0,0.1,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_18
19,COMPLETED,0.7187477052211761,0.7187477052211761,0.5499004125595093,0.7237260043621063,0.529977023601532,118,0.00027686747340057404,8.731606875086717e-06,1.5,64,96,192,64,16,0.1,0.2,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_19
20,COMPLETED,0.7868165373802185,0.7868165373802185,0.4923560619354248,0.7777609825134277,0.48695771396160126,114,0.0002775931598849941,2.760038824739523e-06,1.0,112,128,256,128,32,0.1,0.4,0.1,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_20
21,COMPLETED,0.867163747549057,0.867163747549057,0.36651888489723206,0.861300140619278,0.3694636970758438,113,0.007064655201891999,2.7591199397307535e-06,2.0,48,128,192,32,64,0.1,0.2,0.30000000000000004,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_21
22,COMPLETED,0.8304028511047363,0.8304028511047363,0.41697850823402405,0.8263689577579498,0.41510021686553955,117,0.0008814195916612035,4.6533328443859475e-05,2.0,96,64,192,32,16,0.30000000000000004,0.0,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_22
23,COMPLETED,0.8945396542549133,0.8945396542549133,0.29832635819911957,0.8890736997127533,0.302194282412529,111,0.00293879455768389,1.2474684203056346e-06,1.5,64,112,128,128,32,0.4,0.2,0.30000000000000004,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_23
24,COMPLETED,0.7458639442920685,0.7458639442920685,0.5270455479621887,0.7540030479431152,0.5036485940217972,118,0.0004118601837276136,1.9914908965207284e-05,1.0,32,80,256,128,48,0.0,0.2,0.2,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_24
25,COMPLETED,0.9090065956115723,0.9090065956115723,0.2697499394416809,0.9012467265129089,0.28113681077957153,107,0.007653851758014979,1.925188452908051e-06,1.5,80,128,192,96,32,0.30000000000000004,0.1,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_25
